,uniqueid,n_targets,perc_score
34,A282NBH4RIC3GB:3U4J9857OFUL4LVP7DHXSMGXQTOB7E,4.0,1.0
35,A282NBH4RIC3GB:3U4J9857OFUL4LVP7DHXSMGXQTOB7E,5.0,1.0
36,A2G7N0X0PNX0EE:33LK57MYLUO35HIX1UVB9VJW4AOSZP,3.0,1.0
37,A2G7N0X0PNX0EE:33LK57MYLUO35HIX1UVB9VJW4AOSZP,4.0,1.0
38,A2G7N0X0PNX0EE:33LK57MYLUO35HIX1UVB9VJW4AOSZP,5.0,1.0
39,A2LU259QPV1I4V:3OVR4I9USQ2BP4FVOXGGKZRMLRY4QY,3.0,1.0
40,A2LU259QPV1I4V:3OVR4I9USQ2BP4FVOXGGKZRMLRY4QY,4.0,0.666666666667
41,A2LU259QPV1I4V:3OVR4I9USQ2BP4FVOXGGKZRMLRY4QY,5.0,0.666666666667
42,A2NDF21CYB14BB:3A9AA95ATX58LBIG2PK1PM7QGRA5PG,3.0,1.0
43,A2NDF21CYB14BB:3A9AA95ATX58LBIG2PK1PM7QGRA5PG,4.0,0.916666666667
44,A2NDF21CYB14BB:3A9AA95ATX58LBIG2PK1PM7QGRA5PG,5.0,0.6
45,A2O1LQ0B4DYO33:3K4J6M3CXFCZE41YU2LV3O9K7ENGAS,3.0,0.666666666667
46,A2O1LQ0B4DYO33:3K4J6M3CXFCZE41YU2LV3O9K7ENGAS,4.0,0.833333333333
47,A2O1LQ0B4DYO33:3K4J6M3CXFCZE41YU2LV3O9K7ENGAS,5.0,0.666666666667
48,A2XX4E9CDNHX5:3IQ1VMJRYU3KZUEQGWFLB7NX31QA9T,3.0,1.0
49,A2XX4E9CDNHX5:3IQ1VMJRYU3KZUEQGWFLB7NX31QA9T,4.0,0.75
50,A2XX4E9CDNHX5:3IQ1VMJRYU3KZUEQGWFLB7NX31QA9T,5.0,0.8
51,A2ZS8VFM3GPPAF:37U1UTWH9W5CK6HXDFVT61HWJZZ8RD,3.0,0.666666666667
52,A2ZS8VFM3GPPAF:37U1UTWH9W5CK6HXDFVT61HWJZZ8RD,4.0,0.916666666667
53,A2ZS8VFM3GPPAF:37U1UTWH9W5CK6HXDFVT61HWJZZ8RD,5.0,1.0
54,A3DRXXSFFX75YJ:3NOKK93PR2R4K3MJ4CXTZ4EZFD7EE5,3.0,1.0
55,A3DRXXSFFX75YJ:3NOKK93PR2R4K3MJ4CXTZ4EZFD7EE5,4.0,0.75
56,A3DRXXSFFX75YJ:3NOKK93PR2R4K3MJ4CXTZ4EZFD7EE5,5.0,1.0
57,A3J9ORWWVZCEOI:336KAV9KYRBAVSRUBTEM46XQ0MJY2Z,3.0,0.333333333333
58,A3J9ORWWVZCEOI:336KAV9KYRBAVSRUBTEM46XQ0MJY2Z,4.0,0.166666666667
59,A3J9ORWWVZCEOI:336KAV9KYRBAVSRUBTEM46XQ0MJY2Z,5.0,0.133333333333
60,A8R36LINQ8Y4O:3LYA37P8IR69Z029Q766WRLJWDNKBS,3.0,1.0
61,A8R36LINQ8Y4O:3LYA37P8IR69Z029Q766WRLJWDNKBS,4.0,1.0
62,A8R36LINQ8Y4O:3LYA37P8IR69Z029Q766WRLJWDNKBS,5.0,0.666666666667
63,AAJEPFSQNC6X:3FE2ERCCZYRUTLOY74G0YS7HXMFPO5,3.0,1.0
64,AAJEPFSQNC6X:3FE2ERCCZYRUTLOY74G0YS7HXMFPO5,4.0,0.833333333333
65,AAJEPFSQNC6X:3FE2ERCCZYRUTLOY74G0YS7HXMFPO5,5.0,0.8
66,AIXOX193ZZA7N:3VZLGYJEYMTB1Y4WV41Y830OJPQXZ2,3.0,1.0
67,AIXOX193ZZA7N:3VZLGYJEYMTB1Y4WV41Y830OJPQXZ2,4.0,0.833333333333
68,AIXOX193ZZA7N:3VZLGYJEYMTB1Y4WV41Y830OJPQXZ2,5.0,0.733333333333
69,ANMXMEB55AGM6:3JJVG1YBECG6HHH6JK20U221ZNVB51,3.0,1.0
70,ANMXMEB55AGM6:3JJVG1YBECG6HHH6JK20U221ZNVB51,4.0,0.916666666667
71,ANMXMEB55AGM6:3JJVG1YBECG6HHH6JK20U221ZNVB51,5.0,1.0
72,AVMIXXCHPD291:3PQ8K71NHY3Y4DOV82TL72YH9J8AA8,3.0,1.0
73,AVMIXXCHPD291:3PQ8K71NHY3Y4DOV82TL72YH9J8AA8,4.0,1.0
74,AVMIXXCHPD291:3PQ8K71NHY3Y4DOV82TL72YH9J8AA8,5.0,0.6
75,AVW4XR7UGD5PJ:31N2WW6R9S9TGJ6IA303YVV20PTF3U,3.0,1.0
76,AVW4XR7UGD5PJ:31N2WW6R9S9TGJ6IA303YVV20PTF3U,4.0,1.0
77,AVW4XR7UGD5PJ:31N2WW6R9S9TGJ6IA303YVV20PTF3U,5.0,0.733333333333
